siren,nom,type,regcode,url_ptf,nb_ptf,url_datagouv,nb_datagouv,id_datagouv,id_ods,pop_insee,lat,lon,merge,depcode,orga,tags,tranche_pop,tranche_ptf,platform_clean,text,id_odf,dep_label
213500010,ACIGNE,COM,BRE-53,https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné,4,,,,Commune d'Acigné,6275,48.1339,-1.53664,ptf,35,Data Rennes Métropole,Social-Citoyenneté,p_5_10,d_1_5,OpenDataSoft,"<p>L'organisation ACIGNE est une commune et se situe dans le département de Ille-et-Vilaine (35). Cette commune représente une population de 6275 habitants</p><br><p>ACIGNE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 4 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.rennesmetropole.fr/explore/?sort=modified&refine.publisher=Commune+d%27Acigné'> la plateforme de ACIGNE</a>.</p><br>",odf_213500010,Ille-et-Vilaine
254002272,ADACL Landes,AGCT,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/agence-departementale-daide-aux-collectivites-locales-des-landes/#organization-datasets,6,,,410355,43.896942,-0.493159,datagouv,40,DataGouv,Equipements,p_250_500,d_6_10,DataGouv,"<p>L'organisation ADACL Landes est un autre groupement de collectivité territoriale et se situe dans le département de Landes (40). Cet autre groupement de collectivité territoriale représente une population de 410355 habitants</p><br><p>ADACL Landes publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 6 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/agence-departementale-daide-aux-collectivites-locales-des-landes/#organization-datasets'> sa page sur datagouv</a>.</p><br>",odf_254002272,Landes
306966110,ADEUPa,OACT,BRE-53,https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=ADEUPa,12,,,,,,48.390528,-4.486008,ptf,29,Opendata Brest Metropole,Economie-Urbanisme,p_na,d_11_25,OpenDataSoft,"<p>L'organisation ADEUPa est un organisme associé de collectivité territoriale et se situe dans le département de Finistère (29). </p><br><p>ADEUPa publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 12 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.brest-metropole.fr/explore/?sort=modified&refine.publisher=ADEUPa'> la plateforme de ADEUPa</a>.</p><br>",odf_306966110,Finistère
384452611,ADICO SMI OISE,AGCT,HDF-32,https://opendata.adico.fr/fr/dataset?organization=adico,1,,,,,,49.445022,2.101691,ptf,60,Opendata ADICO 60,Administratif,p_na,d_1_5,CKAN,"<p>L'organisation ADICO SMI OISE est un autre groupement de collectivité territoriale et se situe dans le département de Oise (60). </p><br><p>ADICO SMI OISE publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 1 jeu de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.adico.fr/fr/dataset?organization=adico'> la plateforme de ADICO SMI OISE</a>.</p><br>",odf_384452611,Oise
214700015,AGEN,COM,NAQ-75,https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen,5,https://www.data.gouv.fr/fr/organizations/5bec29278b4c412a07c7ee5f/,68,5bec29278b4c412a07c7ee5f,Mairie d'Agen,34956,44.202482,0.618546,ptf+datagouv,47,Data Agen,,p_25_50,d_51_100,OpenDataSoft,"<p>L'organisation AGEN est une commune et se situe dans le département de Lot-et-Garonne (47). Cette commune représente une population de 34956 habitants</p><br><p>AGEN publie sur un portail local et sur data.gouv avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 73 jeux de données : 5 jeux de données sur sa plateforme et 68 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.agen.fr/explore/?refine.publisher=Mairie+d%27Agen'> la plateforme de AGEN</a> ou sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5bec29278b4c412a07c7ee5f/'> sa page sur datagouv</a>.</p><br>",odf_214700015,Lot-et-Garonne
776258261,AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE,OACT,ARA-84,https://opendata.ardeche.fr/group/agence-de-développement-touristique-de-lardèche,3,,,,,,44.734568,4.598632,ptf,07,Opendata Ardèche,Tourisme,p_na,d_1_5,CKAN,"<p>L'organisation AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE est un organisme associé de collectivité territoriale et se situe dans le département de Ardèche (07). </p><br><p>AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE publie uniquement sur un portail local avec une plateforme de type CKAN.</p><br><p>Cette organisation a publié 3 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://opendata.ardeche.fr/group/agence-de-développement-touristique-de-lardèche'> la plateforme de AGENCE DE DEV. TOURISTIQUE DE L'ARDECHE</a>.</p><br>",odf_776258261,Ardèche
392178570,AGENCE DE TOURISME DE LA CORSE,OACT,COR-94,https://www.data.corsica/explore/?refine.publisher=Agence+de+Tourisme+de+la+Corse,14,,,,Agence de Tourisme de la Corse,,41.92115,8.738851,ptf,2A,Data Corsica,Tourisme,p_na,d_11_25,OpenDataSoft,"<p>L'organisation AGENCE DE TOURISME DE LA CORSE est un organisme associé de collectivité territoriale et se situe dans le département de Corse-du-Sud (2A). </p><br><p>AGENCE DE TOURISME DE LA CORSE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 14 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.corsica/explore/?refine.publisher=Agence+de+Tourisme+de+la+Corse'> la plateforme de AGENCE DE TOURISME DE LA CORSE</a>.</p><br>",odf_392178570,Corse-du-Sud
287500052,AGENCE DES ESPACES VERTS ILE DE FRANCE,OACT,IDF-11,https://data.iledefrance.fr/explore/?sort=modified&refine.publisher=Agence+des+espaces+verts+d%27%C3%8Ele+de+France+(AEV),23,,,,Agence des espaces verts d'Île de France (AEV),,48.896651,2.402616,ptf,93,Data Ile de France,Environnement-Equipements,p_na,d_11_25,OpenDataSoft,"<p>L'organisation AGENCE DES ESPACES VERTS ILE DE FRANCE est un organisme associé de collectivité territoriale et se situe dans le département de Seine-Saint-Denis (93). </p><br><p>AGENCE DES ESPACES VERTS ILE DE FRANCE publie uniquement sur un portail local avec une plateforme de type OpenDataSoft.</p><br><p>Cette organisation a publié 23 jeux de données sur sa plateforme.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://data.iledefrance.fr/explore/?sort=modified&refine.publisher=Agence+des+espaces+verts+d%27%C3%8Ele+de+France+(AEV)'> la plateforme de AGENCE DES ESPACES VERTS ILE DE FRANCE</a>.</p><br>",odf_287500052,Seine-Saint-Denis
256404393,AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES,AGCT,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/5c94a888634f415e8c85de26/,1,5c94a888634f415e8c85de26,,,43.31,-0.358315,datagouv,64,DataGouv,,p_na,d_1_5,DataGouv,"<p>L'organisation AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES est un autre groupement de collectivité territoriale et se situe dans le département de Pyrénées-Atlantiques (64). </p><br><p>AGENCE PUBLIQUE DE GESTION LOCALE PYR. ATLANTIQUES publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 1 jeu de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/5c94a888634f415e8c85de26/'> sa page sur datagouv</a>.</p><br>",odf_256404393,Pyrénées-Atlantiques
216400085,AHAXE-ALCIETTE-BASCASSAN,COM,NAQ-75,,,https://www.data.gouv.fr/fr/organizations/ahaxe-alciette-bascassan/,2,5f55fc85c2d347d5abab8c57,,271,43.143915,-1.177989,datagouv,64,DataGouv,Equipements,p_0_1,d_1_5,DataGouv,"<p>L'organisation AHAXE-ALCIETTE-BASCASSAN est une commune et se situe dans le département de Pyrénées-Atlantiques (64). Cette commune représente une population de 271 habitants</p><br><p>AHAXE-ALCIETTE-BASCASSAN publie uniquement sur data.gouv.fr.</p><br><p>Cette organisation a publié 2 jeux de données sur data.gouv.</p><br><p>Plus d'infos en cliquant sur <a target='_blank' class=""link-underlined"" href='https://www.data.gouv.fr/fr/organizations/ahaxe-alciette-bascassan/'> sa page sur datagouv</a>.</p><br>",odf_216400085,Pyrénées-Atlantiques
