siren,adresse,nom,type,lat
200057974,"9 route de vaugirard, 92190 Meudon",EPT GRAND PARIS SEINE OUEST (GPSO - T3),EPT,#N/A
200058014,"2 avenue youri gagarine, 94400 Vitry-sur-seine",ETP GRAND ORLY SEINE BIEVRE (T12),EPT,#N/A
200058006,"14 rue edouard le corbusier, 94000 Creteil",ETP GRAND PARIS SUD EST AVENIR (GPSEA - T11),EPT,#N/A
244900015,"83 rue du mail, 49100 Angers",ANGERS LOIRE METROPOLE,CU,#N/A
243300316,"esplanade charles de gaulle, 33000 Bordeaux",BORDEAUX METROPOLE,MET,#N/A
200011773,"11 avenue emile zola, 74100 Annemasse",CA ANNEMASSE LES VOIRONS AGGLOMERATION,CA,#N/A
200041630,"49 avenue leon bourgeois, 08000 Charleville-mezieres",CA ARDENNE METROPOLE,CA,#N/A
241300417,"5 rue yvan audouard, 13200 Arles",CA ARLES CRAU CAMARGUE MONTAGNETTE,CA,#N/A
200033025,"12 rue lapique, 55000 Bar-le-duc",CA BAR LE DUC SUD MEUSE,CA,#N/A
200006682,"14 rue philippe trinquet, 21200 Beaune",CA BEAUNE COTE ET SUD,CA,#N/A
200039915,"place de l hotel de ville, 06400 Cannes",CA CANNES PAYS DE LERINS,CA,#N/A
200010700,"allée du catillon, 76170 Lillebonne",CA CAUX VALLEE DE SEINE,CA,#N/A
243600327,"place de la republique, 36000 Chateauroux",CA CHATEAUROUX METROPOLE,CA,#N/A
200057859,"1 place saint exupery, 91700 Sainte-genevieve-des-bois",CA COEUR D'ESSONNE AGGLOMERATION,CA,#N/A
246800726,"32 cours sainte anne, 68000 Colmar",CA COLMAR,CA,#N/A
243400769,"39 boulevard de verdun, 34500 Beziers",CA DE BEZIERS MEDITERRANEE,CA,#N/A
200030385,"1 rue honore de balzac, 41000 Blois",CA DE BLOIS,CA,#N/A
248100430,"le causse, 81100 Castres",CA DE CASTRES MAZAMET,CA,#N/A
200066876,"place du marechal foch, 51000 Chalons-en-champagne",CA DE CHALONS EN CHAMPAGNE,CA,#N/A
200067874,"84 route de strasbourg, 67500 Haguenau",CA DE HAGUENAU,CA,#N/A
248100737,"16 rue de l hotel de ville, 81000 Albi",CA DE L'ALBIGEOIS,CA,#N/A
200067114,"6 b place marechal leclerc, 89000 Auxerre",CA DE L'AUXERROIS,CA,#N/A
244400610,"3 avenue des noelles, 44500 La baule-escoublac",CA DE LA PRESQU'ILE DE GUERANDE ATLANTIQUE,CA,#N/A
247600786,"4 boulevard du general de gaulle, 76200 Dieppe",CA DE LA REGION DIEPPOISE,CA,#N/A
244400644,"4 avenue cdt de l herminier, 44600 Saint-nazaire",CA DE LA REGION NAZAIRIENNE ET DE L'ESTUAIRE,CA,#N/A
240600551,,CA DE LA RIVIERA FRANCAISE,CA,#N/A
245300330,,CA DE LAVAL,CA,#N/A
245804406,,CA DE NEVERS,CA,#N/A
200073344,,CA DE RAMBOUILLET TERRITOIRES,CA,#N/A
245901160,,CA DE VALENCIENNES METROPOLE,CA,#N/A
247000011,,CA DE VESOUL,CA,#N/A
200068989,,CA DINAN AGGLOMERATION,CA,#N/A
248300493,,CA DRACENIE PROVENCE VERDON AGGLOMERATION,CA,#N/A
200043172,,CA DU BASSIN DE BRIVE,CA,#N/A
