nom,reg-code,reg-nom,type,collab,url,techno,porteur,contact,twitter
Aix en Provence Open Data,93,Provence-Alpes-Côte d'Azur,Portail,Dédié,https://aix-en-provence.opendatasoft.com/pages/accueil/,OpenDataSoft,COM,,
Atmo Aura Open Data,84,Auvergne-Rhône-Alpes,Géoportail,Dédié,https://data-atmoaura.opendata.arcgis.com,ArcGis,OACT,,
Atmo Bfc Open Data,27,Bourgogne-Franche-Comté,Site web,Dédié,https://www.atmo-bfc.org/opendata,Spécifique,OACT,,
Atmo Grand Est Open Data,44,Grand Est,Géoportail,Dédié,https://data-atmograndest.opendata.arcgis.com,ArcGis,OACT,,
Atmo Guyane,3,Guyane,Géoportail,Dédié,https://data-atmo-guyane.opendata.arcgis.com,ArcGIS,REG,,
Atmo Hauts de France Open Data,32,Hauts-de-France,Géoportail,Dédié,https://data-atmo-hdf.opendata.arcgis.com,ArcGis,OACT,,
Atmo Normandie Open Data,28,Normandie,Géoportail,Dédié,https://datas-atmonormandie.opendata.arcgis.com,ArcGis,OACT,,
Atmo Nouvelle Aquitaine Open Data,75,Nouvelle-Aquitaine,Géoportail,Dédié,https://data-atmo-na.opendata.arcgis.com,ArcGis,OACT,,
Atmo Occitanie Open Data,76,Occitanie,Géoportail,Dédié,https://data-atmo-occitanie.opendata.arcgis.com,ArcGis,OACT,,
Atmo Réunion Open Data,4,La Réunion,Géoportail,Dédié,https://data-atmoreunion.opendata.arcgis.com,ArcGis,OACT,,
Bassin de Pompey,44,Grand Est,Portail,Dédié,https://data.bassinpompey.fr/donnees-collectivite,OpenDataGazette,CC,,
CRAIG Rhone Alpes,84,Auvergne-Rhône-Alpes,Géoportail,Partenarial,https://ids.craig.fr/geocat/,GeoNetwork,REG,,
CRIGE PACA,93,Provence-Alpes-Côte d'Azur,Géoportail,Partenarial,http://www.crige-paca.org/geoportail/geocatalogue.html,GeoSource,REG,,
Dat'Armor,53,Bretagne,Portail,Mutualisé,http://datarmor.cotesdarmor.fr,MGDIS Open Data,DEP,,
Data Agen,75,Nouvelle-Aquitaine,Portail,Dédié,https://data.agen.fr,OpenDataSoft,COM,,
Data Agglo Royan,75,Nouvelle-Aquitaine,Portail,Dédié,https://data.agglo-royan.fr,CKAN,CA,,
Data Air Breizh,53,Bretagne,Géoportail,Dédié,http://data.airbreizh.asso.fr/geonetwork/,GeoNetwork,OACT,,
Data Air Pays de la Loire,52,Pays de la Loire,Géoportail,Dédié,https://data.airpl.org/geonetwork/,GeoNetwork,OACT,,
Data Airparif,11,Île-de-France,Géoportail,Dédié,https://data-airparif-asso.opendata.arcgis.com,ArcGis,OACT,,
Data Alpes Maritimes 06,93,Provence-Alpes-Côte d'Azur,Site web,Dédié,https://data.departement06.fr,OpenDataSoft,DEP,,
Data Angers,52,Pays de la Loire,Portail,Partagé,https://data.angers.fr,OpenDataSoft,CU,,
Data BFC,27,Bourgogne-Franche-Comté,Portail,Mutualisé,https://ideo.ternum-bfc.fr,CKAN,OACT,,
Data Blois Agglopolys,75,Nouvelle-Aquitaine,Portail,Mutualisé,https://data.blois.agglopolys.fr/pages/accueil/,OpenDataSoft,CA,,
Data Boissy Saint Léger,11,Île-de-France,Portail,Dédié,https://boissy.data4citizen.com/,DATA4CITIZEN,COM,,
